query_id, author, title 
22,  Lodge, Emily Sarah Holt 
23, The Gold that Glitters, Emily Sarah Holt 
24, s Well, Emily Sarah Holt 
25, Through the Malay Archipelago, Emily Richings 
26,  A Poem XXI, Emily Dickinson 
27, Chats on Old Lace and Needlework, Emily Leigh Lowes 
28, It Might Have Been, Emily Sarah Holt 
29, s Harvest, Emily Sarah Holt 
30,  cat, Emily Neville 
31, s Sake, Emily Sarah Holt 
32, An Ohio Woman in the Philippines, Emily Bronson Conger 
33, Robin Tremayne, Emily Sarah Holt 
34, One Snowy Night, Emily Sarah Holt 
35, In Convent Walls, Emily Sarah Holt 
36, Jap Herron, Emily Grant Hutchings 
37, Barbara Lynn, Emily J
38, s Letters, Emily Eden 
39, Blazing The Way, Emily Inez Denny 
40, s Country, Emily Churchill Thompson Sheets 
41, The Olivia Letters, Emily Edson Briggs                                
42, Emily of New Moon, Lucy Maud Montgomery 
43, Wuthering Heights, Emily Bront
44, An Appeal to the Christian Women of the South, Angelina Emily Grimk
45, Etiquette, Emily Post 
46,  Complete, Emily Dickinson 
47,  Third Series, Emily Dickinson 
48, The Story Of Ireland, Emily Lawless 
49, Entertaining Made Easy, Emily Rose Burt 
50, Our Catholic Heritage in English Literature, Emily Hickey 
51,  The History of Emily Montague, Frances Brooke 
52, s Delight, Emily Mayer Higgins 
53,  Woman as Decoration, Emily Burbank 
54, Suzanna Stirs the Fire, Emily Calvin Blake 
55, s Daughter, Emily Sarah Holt 
56, The White Lady of Hazelwood, Emily Sarah Holt 
57, The White Rose of Langley, Emily Sarah Holt 
58,  Mistress Margery, Emily Sarah Holt 
59, The Well in the Desert, Emily Sarah Holt 
60, Our Little Lady, Emily Sarah Holt 
61, s Daughters, Emily Sarah Holt 
62, A Forgotten Hero, Emily Sarah Holt 
63, Clare Avery, Emily Sarah Holt 
64,  Lodge, Emily Sarah Holt 
65, The Gold that Glitters, Emily Sarah Holt 
66, s Well, Emily Sarah Holt 
67, Through the Malay Archipelago, Emily Richings 
68,  A Poem XXI, Emily Dickinson 
69, Chats on Old Lace and Needlework, Emily Leigh Lowes 
70, It Might Have Been, Emily Sarah Holt 
71, s Harvest, Emily Sarah Holt 
72,  cat, Emily Neville 
73, s Sake, Emily Sarah Holt 
74, An Ohio Woman in the Philippines, Emily Bronson Conger 
75, Robin Tremayne, Emily Sarah Holt 
76, One Snowy Night, Emily Sarah Holt 
77, In Convent Walls, Emily Sarah Holt 
78, Jap Herron, Emily Grant Hutchings 
79, Barbara Lynn, Emily J
80, s Letters, Emily Eden 
81, Blazing The Way, Emily Inez Denny 
82, s Country, Emily Churchill Thompson Sheets 
83, The Olivia Letters, Emily Edson Briggs                                
84, Emily of New Moon, Lucy Maud Montgomery 
85, Wuthering Heights, Emily Bront
86, An Appeal to the Christian Women of the South, Angelina Emily Grimk
87, Etiquette, Emily Post 
88,  Complete, Emily Dickinson 
89,  Third Series, Emily Dickinson 
90, The Story Of Ireland, Emily Lawless 
91, Entertaining Made Easy, Emily Rose Burt 
92, Our Catholic Heritage in English Literature, Emily Hickey 
93,  The History of Emily Montague, Frances Brooke 
94, s Delight, Emily Mayer Higgins 
95,  Woman as Decoration, Emily Burbank 
96, Suzanna Stirs the Fire, Emily Calvin Blake 
97, s Daughter, Emily Sarah Holt 
98, The White Lady of Hazelwood, Emily Sarah Holt 
99, The White Rose of Langley, Emily Sarah Holt 
100,  Mistress Margery, Emily Sarah Holt 
101, The Well in the Desert, Emily Sarah Holt 
102, Our Little Lady, Emily Sarah Holt 
103, s Daughters, Emily Sarah Holt 
104, A Forgotten Hero, Emily Sarah Holt 
105, Clare Avery, Emily Sarah Holt 
106,  Lodge, Emily Sarah Holt 
107, The Gold that Glitters, Emily Sarah Holt 
108, s Well, Emily Sarah Holt 
109, Through the Malay Archipelago, Emily Richings 
110,  A Poem XXI, Emily Dickinson 
111, Chats on Old Lace and Needlework, Emily Leigh Lowes 
112, It Might Have Been, Emily Sarah Holt 
113, s Harvest, Emily Sarah Holt 
114,  cat, Emily Neville 
115, s Sake, Emily Sarah Holt 
116, An Ohio Woman in the Philippines, Emily Bronson Conger 
117, Robin Tremayne, Emily Sarah Holt 
118, One Snowy Night, Emily Sarah Holt 
119, In Convent Walls, Emily Sarah Holt 
120, Jap Herron, Emily Grant Hutchings 
121, Barbara Lynn, Emily J
122, s Letters, Emily Eden 
123, Blazing The Way, Emily Inez Denny 
124, s Country, Emily Churchill Thompson Sheets 
125, The Olivia Letters, Emily Edson Briggs                                
126, Emily of New Moon, Lucy Maud Montgomery 
127, Wuthering Heights, Emily Bront
128, An Appeal to the Christian Women of the South, Angelina Emily Grimk
129, Etiquette, Emily Post 
130,  Complete, Emily Dickinson 
131,  Third Series, Emily Dickinson 
132, The Story Of Ireland, Emily Lawless 
133, Entertaining Made Easy, Emily Rose Burt 
134, Our Catholic Heritage in English Literature, Emily Hickey 
135,  The History of Emily Montague, Frances Brooke 
136, s Delight, Emily Mayer Higgins 
137,  Woman as Decoration, Emily Burbank 
138, Suzanna Stirs the Fire, Emily Calvin Blake 
139, s Daughter, Emily Sarah Holt 
140, The White Lady of Hazelwood, Emily Sarah Holt 
141, The White Rose of Langley, Emily Sarah Holt 
142,  Mistress Margery, Emily Sarah Holt 
143, The Well in the Desert, Emily Sarah Holt 
144, Our Little Lady, Emily Sarah Holt 
145, s Daughters, Emily Sarah Holt 
146, A Forgotten Hero, Emily Sarah Holt 
147, Clare Avery, Emily Sarah Holt 
148,  Lodge, Emily Sarah Holt 
149, The Gold that Glitters, Emily Sarah Holt 
150, s Well, Emily Sarah Holt 
151, Through the Malay Archipelago, Emily Richings 
152,  A Poem XXI, Emily Dickinson 
153, Chats on Old Lace and Needlework, Emily Leigh Lowes 
154, It Might Have Been, Emily Sarah Holt 
155, s Harvest, Emily Sarah Holt 
156,  cat, Emily Neville 
157, s Sake, Emily Sarah Holt 
158, An Ohio Woman in the Philippines, Emily Bronson Conger 
159, Robin Tremayne, Emily Sarah Holt 
160, One Snowy Night, Emily Sarah Holt 
161, In Convent Walls, Emily Sarah Holt 
162, Jap Herron, Emily Grant Hutchings 
163, Barbara Lynn, Emily J
164, s Letters, Emily Eden 
165, Blazing The Way, Emily Inez Denny 
166, s Country, Emily Churchill Thompson Sheets 
167, The Olivia Letters, Emily Edson Briggs                                
168, Emily of New Moon, Lucy Maud Montgomery 
169, Wuthering Heights, Emily Bront
170, An Appeal to the Christian Women of the South, Angelina Emily Grimk
171, Etiquette, Emily Post 
172,  Complete, Emily Dickinson 
173,  Third Series, Emily Dickinson 
174, The Story Of Ireland, Emily Lawless 
175, Entertaining Made Easy, Emily Rose Burt 
176, Our Catholic Heritage in English Literature, Emily Hickey 
177,  The History of Emily Montague, Frances Brooke 
178, s Delight, Emily Mayer Higgins 
179,  Woman as Decoration, Emily Burbank 
180, Suzanna Stirs the Fire, Emily Calvin Blake 
181, s Daughter, Emily Sarah Holt 
182, The White Lady of Hazelwood, Emily Sarah Holt 
183, The White Rose of Langley, Emily Sarah Holt 
184,  Mistress Margery, Emily Sarah Holt 
185, The Well in the Desert, Emily Sarah Holt 
186, Our Little Lady, Emily Sarah Holt 
187, s Daughters, Emily Sarah Holt 
188, A Forgotten Hero, Emily Sarah Holt 
189, Clare Avery, Emily Sarah Holt 
190,  Lodge, Emily Sarah Holt 
191, The Gold that Glitters, Emily Sarah Holt 
192, s Well, Emily Sarah Holt 
193, Through the Malay Archipelago, Emily Richings 
194,  A Poem XXI, Emily Dickinson 
195, Chats on Old Lace and Needlework, Emily Leigh Lowes 
196, It Might Have Been, Emily Sarah Holt 
197, s Harvest, Emily Sarah Holt 
198,  cat, Emily Neville 
199, s Sake, Emily Sarah Holt 
200, An Ohio Woman in the Philippines, Emily Bronson Conger 
201, Robin Tremayne, Emily Sarah Holt 
202, One Snowy Night, Emily Sarah Holt 
203, In Convent Walls, Emily Sarah Holt 
204, Jap Herron, Emily Grant Hutchings 
205, Barbara Lynn, Emily J
206, s Letters, Emily Eden 
207, Blazing The Way, Emily Inez Denny 
208, s Country, Emily Churchill Thompson Sheets 
209, The Olivia Letters, Emily Edson Briggs                                
210, Emily of New Moon, Lucy Maud Montgomery 
211, Wuthering Heights, Emily Bront
212, An Appeal to the Christian Women of the South, Angelina Emily Grimk
213, Etiquette, Emily Post 
214,  Complete, Emily Dickinson 
215,  Third Series, Emily Dickinson 
216, The Story Of Ireland, Emily Lawless 
217, Entertaining Made Easy, Emily Rose Burt 
218, Our Catholic Heritage in English Literature, Emily Hickey 
219,  The History of Emily Montague, Frances Brooke 
220, s Delight, Emily Mayer Higgins 
221,  Woman as Decoration, Emily Burbank 
222, Suzanna Stirs the Fire, Emily Calvin Blake 
223, s Daughter, Emily Sarah Holt 
224, The White Lady of Hazelwood, Emily Sarah Holt 
225, The White Rose of Langley, Emily Sarah Holt 
226,  Mistress Margery, Emily Sarah Holt 
227, The Well in the Desert, Emily Sarah Holt 
228, Our Little Lady, Emily Sarah Holt 
229, s Daughters, Emily Sarah Holt 
230, A Forgotten Hero, Emily Sarah Holt 
231, Clare Avery, Emily Sarah Holt 
232,  Lodge, Emily Sarah Holt 
233, The Gold that Glitters, Emily Sarah Holt 
234, s Well, Emily Sarah Holt 
235, Through the Malay Archipelago, Emily Richings 
236,  A Poem XXI, Emily Dickinson 
237, Chats on Old Lace and Needlework, Emily Leigh Lowes 
238, It Might Have Been, Emily Sarah Holt 
239, s Harvest, Emily Sarah Holt 
240,  cat, Emily Neville 
241, s Sake, Emily Sarah Holt 
242, An Ohio Woman in the Philippines, Emily Bronson Conger 
243, Robin Tremayne, Emily Sarah Holt 
244, One Snowy Night, Emily Sarah Holt 
245, In Convent Walls, Emily Sarah Holt 
246, Jap Herron, Emily Grant Hutchings 
247, Barbara Lynn, Emily J
248, s Letters, Emily Eden 
249, Blazing The Way, Emily Inez Denny 
250, s Country, Emily Churchill Thompson Sheets 
251, The Olivia Letters, Emily Edson Briggs                                
252, Emily of New Moon, Lucy Maud Montgomery 
253, Wuthering Heights, Emily Bront
254, An Appeal to the Christian Women of the South, Angelina Emily Grimk
255, Etiquette, Emily Post 
256,  Complete, Emily Dickinson 
257,  Third Series, Emily Dickinson 
258, The Story Of Ireland, Emily Lawless 
259, Entertaining Made Easy, Emily Rose Burt 
260, Our Catholic Heritage in English Literature, Emily Hickey 
261,  The History of Emily Montague, Frances Brooke 
262, s Delight, Emily Mayer Higgins 
263,  Woman as Decoration, Emily Burbank 
264, Suzanna Stirs the Fire, Emily Calvin Blake 
265, s Daughter, Emily Sarah Holt 
266, The White Lady of Hazelwood, Emily Sarah Holt 
267, The White Rose of Langley, Emily Sarah Holt 
268,  Mistress Margery, Emily Sarah Holt 
269, The Well in the Desert, Emily Sarah Holt 
270, Our Little Lady, Emily Sarah Holt 
271, s Daughters, Emily Sarah Holt 
272, A Forgotten Hero, Emily Sarah Holt 
273, Clare Avery, Emily Sarah Holt 
274,  Lodge, Emily Sarah Holt 
275, The Gold that Glitters, Emily Sarah Holt 
276, s Well, Emily Sarah Holt 
277, Through the Malay Archipelago, Emily Richings 
278,  A Poem XXI, Emily Dickinson 
279, Chats on Old Lace and Needlework, Emily Leigh Lowes 
280, It Might Have Been, Emily Sarah Holt 
281, s Harvest, Emily Sarah Holt 
282,  cat, Emily Neville 
283, s Sake, Emily Sarah Holt 
284, An Ohio Woman in the Philippines, Emily Bronson Conger 
285, Robin Tremayne, Emily Sarah Holt 
286, One Snowy Night, Emily Sarah Holt 
287, In Convent Walls, Emily Sarah Holt 
288, Jap Herron, Emily Grant Hutchings 
289, Barbara Lynn, Emily J
290, s Letters, Emily Eden 
291, Blazing The Way, Emily Inez Denny 
292, s Country, Emily Churchill Thompson Sheets 
293, The Olivia Letters, Emily Edson Briggs                                
294, Emily of New Moon, Lucy Maud Montgomery 
295, Wuthering Heights, Emily Bront
296, An Appeal to the Christian Women of the South, Angelina Emily Grimk
297, Etiquette, Emily Post 
298,  Complete, Emily Dickinson 
299,  Third Series, Emily Dickinson 
300, The Story Of Ireland, Emily Lawless 
301, Entertaining Made Easy, Emily Rose Burt 
302, Our Catholic Heritage in English Literature, Emily Hickey 
303,  The History of Emily Montague, Frances Brooke 
304, s Delight, Emily Mayer Higgins 
305,  Woman as Decoration, Emily Burbank 
306, Suzanna Stirs the Fire, Emily Calvin Blake 
307, s Daughter, Emily Sarah Holt 
308, The White Lady of Hazelwood, Emily Sarah Holt 
309, The White Rose of Langley, Emily Sarah Holt 
310,  Mistress Margery, Emily Sarah Holt 
311, The Well in the Desert, Emily Sarah Holt 
312, Our Little Lady, Emily Sarah Holt 
313, s Daughters, Emily Sarah Holt 
314, A Forgotten Hero, Emily Sarah Holt 
315, Clare Avery, Emily Sarah Holt 
316,  Lodge, Emily Sarah Holt 
317, The Gold that Glitters, Emily Sarah Holt 
318, s Well, Emily Sarah Holt 
319, Through the Malay Archipelago, Emily Richings 
320,  A Poem XXI, Emily Dickinson 
321, Chats on Old Lace and Needlework, Emily Leigh Lowes 
322, It Might Have Been, Emily Sarah Holt 
323, s Harvest, Emily Sarah Holt 
324,  cat, Emily Neville 
325, s Sake, Emily Sarah Holt 
326, An Ohio Woman in the Philippines, Emily Bronson Conger 
327, Robin Tremayne, Emily Sarah Holt 
328, One Snowy Night, Emily Sarah Holt 
329, In Convent Walls, Emily Sarah Holt 
330, Jap Herron, Emily Grant Hutchings 
331, Barbara Lynn, Emily J
332, s Letters, Emily Eden 
333, Blazing The Way, Emily Inez Denny 
334, s Country, Emily Churchill Thompson Sheets 
335, The Olivia Letters, Emily Edson Briggs                                
336, Emily of New Moon, Lucy Maud Montgomery 
337, Wuthering Heights, Emily Bront
338, An Appeal to the Christian Women of the South, Angelina Emily Grimk
339, Etiquette, Emily Post 
340,  Complete, Emily Dickinson 
341,  Third Series, Emily Dickinson 
342, The Story Of Ireland, Emily Lawless 
343, Entertaining Made Easy, Emily Rose Burt 
344, Our Catholic Heritage in English Literature, Emily Hickey 
345,  The History of Emily Montague, Frances Brooke 
346, s Delight, Emily Mayer Higgins 
347,  Woman as Decoration, Emily Burbank 
348, Suzanna Stirs the Fire, Emily Calvin Blake 
349, s Daughter, Emily Sarah Holt 
350, The White Lady of Hazelwood, Emily Sarah Holt 
351, The White Rose of Langley, Emily Sarah Holt 
352,  Mistress Margery, Emily Sarah Holt 
353, The Well in the Desert, Emily Sarah Holt 
354, Our Little Lady, Emily Sarah Holt 
355, s Daughters, Emily Sarah Holt 
356, A Forgotten Hero, Emily Sarah Holt 
357, Clare Avery, Emily Sarah Holt 
358,  Lodge, Emily Sarah Holt 
359, The Gold that Glitters, Emily Sarah Holt 
360, s Well, Emily Sarah Holt 
361, Through the Malay Archipelago, Emily Richings 
362,  A Poem XXI, Emily Dickinson 
363, Chats on Old Lace and Needlework, Emily Leigh Lowes 
364, It Might Have Been, Emily Sarah Holt 
365, s Harvest, Emily Sarah Holt 
366,  cat, Emily Neville 
367, s Sake, Emily Sarah Holt 
368, An Ohio Woman in the Philippines, Emily Bronson Conger 
369, Robin Tremayne, Emily Sarah Holt 
370, One Snowy Night, Emily Sarah Holt 
371, In Convent Walls, Emily Sarah Holt 
372, Jap Herron, Emily Grant Hutchings 
373, Barbara Lynn, Emily J
374, s Letters, Emily Eden 
375, Blazing The Way, Emily Inez Denny 
376, s Country, Emily Churchill Thompson Sheets 
377, The Olivia Letters, Emily Edson Briggs                                
378, Emily of New Moon, Lucy Maud Montgomery 
379, Wuthering Heights, Emily Bront
380, An Appeal to the Christian Women of the South, Angelina Emily Grimk
381, Etiquette, Emily Post 
382,  Complete, Emily Dickinson 
383,  Third Series, Emily Dickinson 
384, The Story Of Ireland, Emily Lawless 
385, Entertaining Made Easy, Emily Rose Burt 
386, Our Catholic Heritage in English Literature, Emily Hickey 
387,  The History of Emily Montague, Frances Brooke 
388, s Delight, Emily Mayer Higgins 
389,  Woman as Decoration, Emily Burbank 
390, Suzanna Stirs the Fire, Emily Calvin Blake 
391, s Daughter, Emily Sarah Holt 
392, The White Lady of Hazelwood, Emily Sarah Holt 
393, The White Rose of Langley, Emily Sarah Holt 
394,  Mistress Margery, Emily Sarah Holt 
395, The Well in the Desert, Emily Sarah Holt 
396, Our Little Lady, Emily Sarah Holt 
397, s Daughters, Emily Sarah Holt 
398, A Forgotten Hero, Emily Sarah Holt 
399, Clare Avery, Emily Sarah Holt 
400,  Lodge, Emily Sarah Holt 
401, The Gold that Glitters, Emily Sarah Holt 
402, s Well, Emily Sarah Holt 
403, Through the Malay Archipelago, Emily Richings 
404,  A Poem XXI, Emily Dickinson 
405, Chats on Old Lace and Needlework, Emily Leigh Lowes 
406, It Might Have Been, Emily Sarah Holt 
407, s Harvest, Emily Sarah Holt 
408,  cat, Emily Neville 
409, s Sake, Emily Sarah Holt 
410, An Ohio Woman in the Philippines, Emily Bronson Conger 
411, Robin Tremayne, Emily Sarah Holt 
412, One Snowy Night, Emily Sarah Holt 
413, In Convent Walls, Emily Sarah Holt 
414, Jap Herron, Emily Grant Hutchings 
415, Barbara Lynn, Emily J
416, s Letters, Emily Eden 
417, Blazing The Way, Emily Inez Denny 
418, s Country, Emily Churchill Thompson Sheets 
419, The Olivia Letters, Emily Edson Briggs                                
420, Emily of New Moon, Lucy Maud Montgomery 
421, Wuthering Heights, Emily Bront
422, An Appeal to the Christian Women of the South, Angelina Emily Grimk
423, Etiquette, Emily Post 
424,  Complete, Emily Dickinson 
425,  Third Series, Emily Dickinson 
426, The Story Of Ireland, Emily Lawless 
427, Entertaining Made Easy, Emily Rose Burt 
428, Our Catholic Heritage in English Literature, Emily Hickey 
429,  The History of Emily Montague, Frances Brooke 
430, s Delight, Emily Mayer Higgins 
431,  Woman as Decoration, Emily Burbank 
432, Suzanna Stirs the Fire, Emily Calvin Blake 
433, s Daughter, Emily Sarah Holt 
434, The White Lady of Hazelwood, Emily Sarah Holt 
435, The White Rose of Langley, Emily Sarah Holt 
436,  Mistress Margery, Emily Sarah Holt 
437, The Well in the Desert, Emily Sarah Holt 
438, Our Little Lady, Emily Sarah Holt 
439, s Daughters, Emily Sarah Holt 
440, A Forgotten Hero, Emily Sarah Holt 
441, Clare Avery, Emily Sarah Holt 
442,  Lodge, Emily Sarah Holt 
443, The Gold that Glitters, Emily Sarah Holt 
444, s Well, Emily Sarah Holt 
445, Through the Malay Archipelago, Emily Richings 
446,  A Poem XXI, Emily Dickinson 
447, Chats on Old Lace and Needlework, Emily Leigh Lowes 
448, It Might Have Been, Emily Sarah Holt 
449, s Harvest, Emily Sarah Holt 
450,  cat, Emily Neville 
451, s Sake, Emily Sarah Holt 
452, An Ohio Woman in the Philippines, Emily Bronson Conger 
453, Robin Tremayne, Emily Sarah Holt 
454, One Snowy Night, Emily Sarah Holt 
455, In Convent Walls, Emily Sarah Holt 
456, Jap Herron, Emily Grant Hutchings 
457, Barbara Lynn, Emily J
458, s Letters, Emily Eden 
459, Blazing The Way, Emily Inez Denny 
460, s Country, Emily Churchill Thompson Sheets 
461, The Olivia Letters, Emily Edson Briggs                                
462, Emily of New Moon, Lucy Maud Montgomery 
463, Wuthering Heights, Emily Bront
464, An Appeal to the Christian Women of the South, Angelina Emily Grimk
465, Etiquette, Emily Post 
466,  Complete, Emily Dickinson 
467,  Third Series, Emily Dickinson 
468, The Story Of Ireland, Emily Lawless 
469, Entertaining Made Easy, Emily Rose Burt 
470, Our Catholic Heritage in English Literature, Emily Hickey 
471,  The History of Emily Montague, Frances Brooke 
472, s Delight, Emily Mayer Higgins 
473,  Woman as Decoration, Emily Burbank 
474, Suzanna Stirs the Fire, Emily Calvin Blake 
475, s Daughter, Emily Sarah Holt 
476, The White Lady of Hazelwood, Emily Sarah Holt 
477, The White Rose of Langley, Emily Sarah Holt 
478,  Mistress Margery, Emily Sarah Holt 
479, The Well in the Desert, Emily Sarah Holt 
480, Our Little Lady, Emily Sarah Holt 
481, s Daughters, Emily Sarah Holt 
482, A Forgotten Hero, Emily Sarah Holt 
483, Clare Avery, Emily Sarah Holt 
484,  Lodge, Emily Sarah Holt 
485, The Gold that Glitters, Emily Sarah Holt 
486, s Well, Emily Sarah Holt 
487, Through the Malay Archipelago, Emily Richings 
488,  A Poem XXI, Emily Dickinson 
489, Chats on Old Lace and Needlework, Emily Leigh Lowes 
490, It Might Have Been, Emily Sarah Holt 
491, s Harvest, Emily Sarah Holt 
492,  cat, Emily Neville 
493, s Sake, Emily Sarah Holt 
494, An Ohio Woman in the Philippines, Emily Bronson Conger 
495, Robin Tremayne, Emily Sarah Holt 
496, One Snowy Night, Emily Sarah Holt 
497, In Convent Walls, Emily Sarah Holt 
498, Jap Herron, Emily Grant Hutchings 
499, Barbara Lynn, Emily J
500, s Letters, Emily Eden 
501, Blazing The Way, Emily Inez Denny 
502, s Country, Emily Churchill Thompson Sheets 
503, The Olivia Letters, Emily Edson Briggs                                
504, Emily of New Moon, Lucy Maud Montgomery 
505, Wuthering Heights, Emily Bront
506, An Appeal to the Christian Women of the South, Angelina Emily Grimk
507, Etiquette, Emily Post 
508,  Complete, Emily Dickinson 
509,  Third Series, Emily Dickinson 
510, The Story Of Ireland, Emily Lawless 
511, Entertaining Made Easy, Emily Rose Burt 
512, Our Catholic Heritage in English Literature, Emily Hickey 
513,  The History of Emily Montague, Frances Brooke 
514, s Delight, Emily Mayer Higgins 
515,  Woman as Decoration, Emily Burbank 
516, Suzanna Stirs the Fire, Emily Calvin Blake 
517, s Daughter, Emily Sarah Holt 
518, The White Lady of Hazelwood, Emily Sarah Holt 
519, The White Rose of Langley, Emily Sarah Holt 
520,  Mistress Margery, Emily Sarah Holt 
521, The Well in the Desert, Emily Sarah Holt 
522, Our Little Lady, Emily Sarah Holt 
523, s Daughters, Emily Sarah Holt 
524, A Forgotten Hero, Emily Sarah Holt 
525, Clare Avery, Emily Sarah Holt 
526,  Lodge, Emily Sarah Holt 
527, The Gold that Glitters, Emily Sarah Holt 
528, s Well, Emily Sarah Holt 
529, Through the Malay Archipelago, Emily Richings 
530,  A Poem XXI, Emily Dickinson 
531, Chats on Old Lace and Needlework, Emily Leigh Lowes 
532, It Might Have Been, Emily Sarah Holt 
533, s Harvest, Emily Sarah Holt 
534,  cat, Emily Neville 
535, s Sake, Emily Sarah Holt 
536, An Ohio Woman in the Philippines, Emily Bronson Conger 
537, Robin Tremayne, Emily Sarah Holt 
538, One Snowy Night, Emily Sarah Holt 
539, In Convent Walls, Emily Sarah Holt 
540, Jap Herron, Emily Grant Hutchings 
541, Barbara Lynn, Emily J
542, s Letters, Emily Eden 
543, Blazing The Way, Emily Inez Denny 
544, s Country, Emily Churchill Thompson Sheets 
545, The Olivia Letters, Emily Edson Briggs                                
546, Emily of New Moon, Lucy Maud Montgomery 
547, Wuthering Heights, Emily Bront
548, An Appeal to the Christian Women of the South, Angelina Emily Grimk
549, Etiquette, Emily Post 
550,  Complete, Emily Dickinson 
551,  Third Series, Emily Dickinson 
552, The Story Of Ireland, Emily Lawless 
553, Entertaining Made Easy, Emily Rose Burt 
554, Our Catholic Heritage in English Literature, Emily Hickey 
555,  The History of Emily Montague, Frances Brooke 
556, s Delight, Emily Mayer Higgins 
557,  Woman as Decoration, Emily Burbank 
558, Suzanna Stirs the Fire, Emily Calvin Blake 
559, s Daughter, Emily Sarah Holt 
560, The White Lady of Hazelwood, Emily Sarah Holt 
561, The White Rose of Langley, Emily Sarah Holt 
562,  Mistress Margery, Emily Sarah Holt 
563, The Well in the Desert, Emily Sarah Holt 
564, Our Little Lady, Emily Sarah Holt 
565, s Daughters, Emily Sarah Holt 
566, A Forgotten Hero, Emily Sarah Holt 
567, Clare Avery, Emily Sarah Holt 
568,  Lodge, Emily Sarah Holt 
569, The Gold that Glitters, Emily Sarah Holt 
570, s Well, Emily Sarah Holt 
571, Through the Malay Archipelago, Emily Richings 
572,  A Poem XXI, Emily Dickinson 
573, Chats on Old Lace and Needlework, Emily Leigh Lowes 
574, It Might Have Been, Emily Sarah Holt 
575, s Harvest, Emily Sarah Holt 
576,  cat, Emily Neville 
577, s Sake, Emily Sarah Holt 
578, An Ohio Woman in the Philippines, Emily Bronson Conger 
579, Robin Tremayne, Emily Sarah Holt 
580, One Snowy Night, Emily Sarah Holt 
581, In Convent Walls, Emily Sarah Holt 
582, Jap Herron, Emily Grant Hutchings 
583, Barbara Lynn, Emily J
584, s Letters, Emily Eden 
585, Blazing The Way, Emily Inez Denny 
586, s Country, Emily Churchill Thompson Sheets 
587, The Olivia Letters, Emily Edson Briggs                                
588, Emily of New Moon, Lucy Maud Montgomery 
589, Wuthering Heights, Emily Bront
590, An Appeal to the Christian Women of the South, Angelina Emily Grimk
591, Etiquette, Emily Post 
592,  Complete, Emily Dickinson 
593,  Third Series, Emily Dickinson 
594, The Story Of Ireland, Emily Lawless 
595, Entertaining Made Easy, Emily Rose Burt 
596, Our Catholic Heritage in English Literature, Emily Hickey 
597,  The History of Emily Montague, Frances Brooke 
598, s Delight, Emily Mayer Higgins 
